,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
18,100,1.1673168774049465,1.2322889992140682,2,32,LeakyReLU(negative_slope=0.01),0.05,0.01,1.552860971472042,1.4309550296203744
90,100,0.7480081006998444,1.2395848875634017,3,128,LeakyReLU(negative_slope=0.01),0.05,0.01,1.2021800860991498,1.5028417058413515
72,100,0.7164202499624771,1.6012893594278903,3,64,ReLU(),0.05,0.01,1.1568265109898188,1.5044003151078567
87,100,0.761296233984354,1.0550949964818794,3,128,ReLU(),0.1,0.01,1.2332435201732401,1.526645892241888
84,100,0.691407107619391,2.2399697327454806,3,128,ReLU(),0.05,0.01,1.1600632313405483,1.7590102356872739
21,100,1.2318034870213137,1.976734160485602,2,32,LeakyReLU(negative_slope=0.01),0.1,0.01,1.6609486705824656,1.8825901588090244
15,100,1.348545660114688,1.8398472268191943,2,32,ReLU(),0.1,0.01,1.7867661285779493,1.9003776506354664
12,100,1.3101414362684702,1.7315641741584011,2,32,ReLU(),0.05,0.01,1.7151223568187097,1.9279024573512566
93,100,0.881492956325967,1.8149587469892057,3,128,LeakyReLU(negative_slope=0.01),0.1,0.01,1.3835529702012892,2.0708086353049437
27,100,1.0671911918379622,1.6006673831501856,2,64,ReLU(),0.1,0.01,1.6018283549768626,2.3167313278757042
30,100,1.0379833184578873,1.7254759700794926,2,64,LeakyReLU(negative_slope=0.01),0.05,0.01,1.5194910293602006,2.347477125532681
3,100,1.7937431597553315,1.915103107862502,2,16,ReLU(),0.1,0.01,2.4329005999706657,2.422635239834018
33,100,1.3931540563168072,2.400510741046884,2,64,LeakyReLU(negative_slope=0.01),0.1,0.01,1.7241627877421342,2.489119315026521
24,100,1.1845258381790795,3.0386435471163407,2,64,ReLU(),0.05,0.01,1.6425324084411195,2.536618580804414
45,100,1.2870553236812134,2.670979095457748,2,128,LeakyReLU(negative_slope=0.01),0.1,0.01,1.7097535636957313,2.595104546789959
39,100,1.286064191742312,2.7165491793626804,2,128,ReLU(),0.1,0.01,1.7176548196173966,2.90123679119126
42,100,1.212130405276174,2.3652575282367265,2,128,LeakyReLU(negative_slope=0.01),0.05,0.01,1.6303994793587924,3.0512483172069125
36,100,1.1141179941992936,3.146209455027319,2,128,ReLU(),0.05,0.01,1.4818002898961933,3.639313211408337
121,100,6.361076873209399,5.989052001785834,4,64,ReLU(),0.05,0.001,10.253232668048764,9.404741411006245
136,100,9.851127659378465,8.724444035333336,4,128,ReLU(),0.1,0.001,12.73070862634574,11.554758977540608
100,100,9.943090336069798,9.895639344641564,4,16,ReLU(),0.1,0.001,13.225313963233175,12.612763279728702
16,100,11.420431833213357,12.336957101441117,2,32,ReLU(),0.1,0.001,14.01709334605909,13.362956928966577
109,100,10.97639320221978,11.182908753375562,4,32,ReLU(),0.05,0.001,14.415661532252969,13.465590311465114
91,100,12.337761594930877,11.856988171266698,3,128,LeakyReLU(negative_slope=0.01),0.05,0.001,14.928476051786733,13.806876222903602
112,100,11.993107756011227,11.541267950351234,4,32,ReLU(),0.1,0.001,15.014174990411483,13.966032710701144
58,100,12.790952296873538,12.504283037725642,3,16,LeakyReLU(negative_slope=0.01),0.1,0.001,15.487347624347189,14.611212458652039
94,100,13.461269182484422,12.985916257328247,3,128,LeakyReLU(negative_slope=0.01),0.1,0.001,16.06537989300817,14.925500550325323
82,100,14.872220167584183,14.34546669649827,3,64,LeakyReLU(negative_slope=0.01),0.1,0.001,17.287997991532027,16.280650637708803
133,100,15.629562350546726,14.329540615252052,4,128,ReLU(),0.05,0.001,18.10484460258332,16.43711069913861
118,100,14.945393943767174,13.95103839006776,4,32,LeakyReLU(negative_slope=0.01),0.1,0.001,17.60333349198764,16.488209022192102
40,100,14.13494373868761,15.399418534130929,2,128,ReLU(),0.1,0.001,16.22335267387181,16.498440867500996
34,100,15.110048684859228,15.475458728042378,2,64,LeakyReLU(negative_slope=0.01),0.1,0.001,17.14510319363477,16.63142498166439
13,100,16.252971879058382,15.552680674972123,2,32,ReLU(),0.05,0.001,18.419969409985175,17.135054381484164
142,100,17.003124873917802,15.790236858063023,4,128,LeakyReLU(negative_slope=0.01),0.1,0.001,19.276737079916145,17.595342831838693
79,100,16.85711848609378,15.824820064149272,3,64,LeakyReLU(negative_slope=0.01),0.05,0.001,19.18719312698911,17.963408955444326
97,100,16.636036017323065,15.575266776572072,4,16,ReLU(),0.05,0.001,18.895932037077895,18.076406306863408
103,100,18.2641605561542,17.77035489624603,4,16,LeakyReLU(negative_slope=0.01),0.05,0.001,20.544020681829497,19.528897254642537
25,100,19.05301197665053,18.41826611727409,2,64,ReLU(),0.05,0.001,20.594313060025712,19.76442623067612
127,100,19.53604576775044,17.787817154515988,4,64,LeakyReLU(negative_slope=0.01),0.05,0.001,21.25187651126063,19.843321897662655
